t_min,sim_time,WeatherObserved_temperature,WeatherObserved_relativeHumidity,WeatherObserved_windSpeed,WeatherObserved_windDirection,WeatherObserved_forecast6h,WeatherObserved_forecastConfidence,AirQualityObserved_KunakBajaNavarra_pm25,AirQualityObserved_KunakBajaNavarra_pm10,AirQualityObserved_KunakBajaNavarra_co,AirQualityObserved_KunakBajaNavarra_airQualityIndex,AirQualityObserved_KunakRochapea_pm25,AirQualityObserved_KunakRochapea_pm10,AirQualityObserved_KunakRochapea_co,AirQualityObserved_KunakRochapea_airQualityIndex,AirQualityObserved_Iturrama_pm25,AirQualityObserved_Iturrama_pm10,AirQualityObserved_Iturrama_co,ForestFire_Baztan_status,ForestFire_Baztan_intensity,ForestFire_Baztan_sizeHectares,ForestFire_Baztan_distanceToPamplona,ForestFire_Baztan_evacuatedPeople,ForestFire_Baztan_propagationRisk,ForestFire_Ultzama_status,ForestFire_Ultzama_intensity,ForestFire_Ultzama_sizeHectares,ForestFire_Ultzama_distanceToPamplona,ForestFire_Ultzama_evacuatedPeople,ForestFire_Ultzama_propagationRisk,ForestFire_Roncal_status,ForestFire_Roncal_intensity,ForestFire_Roncal_sizeHectares,ForestFire_Roncal_distanceToPamplona,ForestFire_Roncal_evacuatedPeople,ForestFire_Roncal_propagationRisk,EmergencyCalls_respiratoryCalls,EmergencyCalls_heatRelatedCalls,EmergencyCalls_totalCalls,EmergencyCalls_trafficCalls,EmergencyCalls_trend,HospitalStatus_emergencyOccupancy,HospitalStatus_respiratoryAdmissions,HospitalStatus_occupiedBeds,HospitalStatus_staffLevel,SocialMediaAlert_mentions,SocialMediaAlert_sentiment,SocialMediaAlert_trendingHashtags,TrafficAlert_N121A_status,TrafficAlert_NA411_status,TrafficAlert_NA137_status,Drone_Fire_status,Drone_Fire_altitude,Drone_Fire_groundTemperature,Drone_Fire_hotspotCount,Drone_Fire_assignedToFire,Drone_Crowd_status,Drone_Crowd_altitude,Drone_Crowd_crowdDensity,Drone_Crowd_panicIndicator,Drone_Crowd_flowDirection,FireForecast_Baztan_predictedSizeHectares,FireForecast_Baztan_predictedPropagation,FireForecast_Baztan_arrivalToPamplona,FireForecast_Baztan_confidence,FireForecast_Ultzama_predictedSizeHectares,FireForecast_Ultzama_predictedPropagation,FireForecast_Ultzama_arrivalToPamplona,FireForecast_Ultzama_confidence,FireForecast_Roncal_predictedSizeHectares,FireForecast_Roncal_predictedPropagation,FireForecast_Roncal_arrivalToPamplona,FireForecast_Roncal_confidence,IndoorAirQuality_Itaroa_pm25,IndoorAirQuality_Itaroa_co2,IndoorAirQuality_inBiot_pm25,IndoorAirQuality_inBiot_co2,IndoorAirQuality_HUN_pm25,IndoorAirQuality_HUN_co2
0,13:00,30,45,4,S,stable,75,18,28,0.2,1,20,32,0.3,1,16,26,0.2,active,low,80,45,15,low,active,low,25,24,10,low,inactive,low,50,55,20,low,3,1,10,2,stable,45,48,55,100,25,neutral,"#Pamplona,#Navarra",open,open,open,idle,0,35,0,,idle,0,0.0,0,stable,100,S,,75,32,S,,78,60,SW,,70,6,520,5,420,4,450
15,13:15,31,43,5,S,stable,75,20,30,0.2,1,22,35,0.3,1,18,28,0.2,active,low,100,44,20,low,active,low,35,23,15,medium,inactive,low,55,54,25,low,4,1,12,2,stable,46,50,56,100,35,neutral,"#Pamplona,#Navarra",open,open,open,idle,0,35,0,,idle,0,0.0,0,stable,125,S,,76,45,S,,79,66,SW,,71,6,525,5,423,4,454
30,13:30,32,40,6,S,stable,72,22,34,0.3,1,28,42,0.4,2,20,32,0.3,active,medium,140,43,35,medium,active,medium,50,22,25,medium,active,low,70,53,35,low,5,2,15,3,stable,48,52,57,100,50,neutral,"#IncendioNavarra,#Pamplona",open,open,open,idle,0,35,0,,idle,0,0.0,0,stable,175,S,,77,65,S,,80,84,SW,,72,8,530,7,426,5,458
45,13:45,33,38,8,N,worsening,70,35,52,0.5,2,45,68,0.7,2,32,48,0.4,active,medium,200,42,55,medium,active,medium,80,21,45,high,active,medium,100,52,55,medium,8,3,22,5,stable,52,55,60,100,85,neutral,"#IncendioNavarra,#Humo",open,open,open,en_route,150,45,0,ForestFire:EFFIS_API_Ultzama,idle,0,0.0,0,stable,250,S,,78,104,S,,81,120,SW,,73,13,535,11,429,9,462
60,14:00,34,35,10,N,worsening,68,50,75,0.8,3,65,98,1.1,3,48,72,0.7,active,high,280,40,80,high,active,high,120,20,70,high,active,medium,140,50,80,medium,12,5,32,8,rising,58,60,63,98,140,negative,"#IncendioNavarra,#Evacuaciones",restricted,open,open,en_route,150,55,1,ForestFire:EFFIS_API_Ultzama,idle,0,0.0,0,stable,350,S,,79,156,S,,82,168,SW,,74,19,540,16,432,13,466
75,14:15,34,33,10,N,worsening,68,62,92,1.0,3,82,122,1.5,4,60,90,0.9,active,high,360,39,110,high,high,high,170,19,100,high,active,high,190,48,110,high,16,7,42,10,rising,62,64,66,96,200,negative,"#IncendioNavarra,#AlertaHumo",restricted,restricted,open,inspecting,120,65,2,ForestFire:EFFIS_API_Ultzama,idle,0,0.0,0,stable,450,S,,80,221,S,,83,228,SW,,75,24,545,20,435,16,470
90,14:30,35,32,9,N,worsening,70,72,108,1.2,3,95,142,1.8,4,70,105,1.1,high,high,440,38,145,high,high,high,220,18,135,high,active,high,240,47,145,high,20,8,52,12,rising,66,68,68,95,280,negative,"#IncendioControlado,#BomberosNavarra",restricted,restricted,open,inspecting,120,75,3,ForestFire:EFFIS_API_Ultzama,idle,0,0.0,0,stable,550,S,,81,286,S,,84,288,SW,,76,28,550,23,438,19,474
105,14:45,35,32,8,NW,stable,72,78,118,1.3,4,102,152,2.0,4,75,112,1.2,high,high,500,37,175,high,high,high,260,17,160,high,high,high,290,46,175,high,22,9,58,13,rising,70,70,70,94,340,negative,"#IncendioControlado,#Bomberos",restricted,restricted,restricted,inspecting,120,85,4,ForestFire:EFFIS_API_Ultzama,idle,0,0.0,0,stable,625,S,,82,338,S,,85,348,SW,,77,30,555,25,441,20,478
120,15:00,35,33,7,NW,stable,75,75,112,1.2,3,98,145,1.8,4,72,108,1.1,high,high,540,37,195,high,high,high,290,17,180,high,high,high,320,45,195,high,20,8,55,12,stable,68,68,69,94,320,negative,"#SituacionControlada,#Bomberos",restricted,restricted,restricted,inspecting,120,95,5,ForestFire:EFFIS_API_Ultzama,idle,0,0.0,0,stable,675,S,,83,377,S,,86,384,SW,,78,29,560,24,444,19,482
135,15:15,34,35,6,NW,improving,78,68,102,1.0,3,88,132,1.5,3,65,98,1.0,high,medium,560,38,205,medium,high,medium,310,18,190,medium,high,medium,340,46,205,medium,18,7,50,10,stable,65,65,67,95,280,negative,"#IncendioEstabilizado,#Navarra",restricted,open,restricted,inspecting,120,105,6,ForestFire:EFFIS_API_Ultzama,idle,0,0.0,0,stable,700,S,,84,403,S,,87,408,SW,,79,26,565,22,447,17,486
